order_id,country, order_value_EUR , cost ,Date,category,customer_name,sales_manager,sales_rep,device_type
70-0511466,Sweden,17524.02,14122.61,12-02-2020,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile
28-6585323,Finland,116563.4,92807.78,26-09-2019,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile
58-7703341,Portugal,296465.56,257480.34,11-07-2019,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC
14-6700183,Portugal,74532.02,59752.32,02-04-2020,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC
15-8765160,Spain,178763.42,146621.76,22-12-2019,Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet
60-6998932,Spain,84900.24,73701.9,14-07-2020,Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC
69-6259390,Portugal,71620.08,62245.01,05-02-2019,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC
64-5761908,UK,156585.22,126599.15,30-08-2020,Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC
91-4126746,Portugal,78461.13,63537.82,10-05-2020,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile
62-3312495,France,64827.8,56043.63,20-01-2019,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC
85-6625096,Sweden,142664.34,120808.16,04-05-2019,Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC
25-6368157,UK,66673.19,52811.83,23-02-2019,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC
15-3943365,Portugal,136915.61,114790.05,04-01-2020,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet
32-3534634,UK,164971.7,132686.74,20-07-2019,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC
02-3972649,UK,149486.27,118662.2,06-08-2019,Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC
08-7576451,Sweden,54078.92,46102.28,08-11-2020,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC
68-3583935,France,107499.78,91364.06,26-02-2019,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC
53-7769693,UK,29493.79,24285.19,22-11-2019,Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC
85-4732103,Portugal,147656.52,124193.9,05-06-2019,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC
27-9800293,Portugal,156839.31,134709.28,11-05-2020,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC
67-3929836,Spain,81412.1,64747.04,06-11-2019,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC
13-0526029,Sweden,56717.53,45101.78,10-03-2019,Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC
38-5910704,Netherlands,17028.19,14102.75,07-02-2020,Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC
